city,temperature_c,humidity,wind_speed,weather,timestamp
Munich,15.84,91,1.79,Rain,2025-06-07 13:05:02
Berlin,19.6,77,5.14,Rain,2025-06-07 13:05:02
Cairo,35.42,24,5.14,Clear,2025-06-07 13:05:02
Madrid,29.29,26,5.66,Clear,2025-06-07 13:05:02
Amsterdam,14.68,81,7.2,Clouds,2025-06-07 13:05:02
Munich,15.84,91,1.79,Rain,2025-06-07 13:05:37
Berlin,19.6,77,5.14,Rain,2025-06-07 13:05:37
Cairo,35.42,24,5.14,Clear,2025-06-07 13:05:37
Madrid,29.29,26,5.66,Clear,2025-06-07 13:05:37
Amsterdam,14.68,81,7.2,Clouds,2025-06-07 13:05:37
Munich,17.58,90,1.34,Clouds,2025-06-07 14:11:10
Berlin,16.48,88,3.13,Rain,2025-06-07 14:11:10
Cairo,35.42,24,7.2,Clear,2025-06-07 14:11:10
Madrid,30.02,26,8.23,Clear,2025-06-07 14:11:10
Amsterdam,15.93,71,9.26,Clouds,2025-06-07 14:11:10
Munich,17.58,90,1.34,Clouds,2025-06-07 14:13:46
Berlin,16.93,88,2.57,Clouds,2025-06-07 14:13:46
Cairo,35.42,24,7.2,Clear,2025-06-07 14:13:46
Madrid,30.03,26,8.23,Clear,2025-06-07 14:13:46
Amsterdam,15.95,71,8.23,Clouds,2025-06-07 14:13:46
Munich,17.07,90,0.89,Rain,2025-06-07 14:26:19
Berlin,17.02,88,2.57,Clouds,2025-06-07 14:26:19
Cairo,35.42,24,6.17,Clear,2025-06-07 14:26:19
Madrid,30.45,23,6.69,Clear,2025-06-07 14:26:19
Amsterdam,16.06,69,9.83,Clouds,2025-06-07 14:26:19
Munich,17.04,90,0.89,Rain,2025-06-07 14:30:05
Berlin,17.44,87,2.68,Clouds,2025-06-07 14:30:05
Cairo,35.42,24,7.2,Clear,2025-06-07 14:30:05
Madrid,30.24,24,6.69,Clear,2025-06-07 14:30:05
Amsterdam,16.03,70,9.83,Clouds,2025-06-07 14:30:05
Munich,17.04,90,0.89,Rain,2025-06-07 14:30:19
Berlin,17.44,87,2.68,Clouds,2025-06-07 14:30:19
Cairo,35.42,24,7.2,Clear,2025-06-07 14:30:19
Madrid,30.24,24,6.69,Clear,2025-06-07 14:30:19
Amsterdam,16.03,70,9.83,Clouds,2025-06-07 14:30:19
Munich,17.04,90,0.89,Rain,2025-06-07 14:34:01
Berlin,17.26,87,2.68,Clouds,2025-06-07 14:34:01
Cairo,35.42,24,7.2,Clear,2025-06-07 14:34:01
Madrid,30.24,24,6.69,Clear,2025-06-07 14:34:01
Amsterdam,16.06,69,9.83,Clouds,2025-06-07 14:34:01
Munich,14.16,92,1.34,Rain,2025-06-07 16:00:04
Berlin,19.35,77,3.58,Clouds,2025-06-07 16:00:05
Cairo,34.42,26,5.66,Clear,2025-06-07 16:00:05
Madrid,30.89,21,7.2,Clear,2025-06-07 16:00:05
Amsterdam,16.3,67,9.26,Clouds,2025-06-07 16:00:05
Munich,14.13,93,0.45,Rain,2025-06-07 16:30:04
Berlin,19.57,72,3.13,Clear,2025-06-07 16:30:04
Cairo,34.42,26,6.69,Clear,2025-06-07 16:30:04
Madrid,31.08,20,6.69,Clear,2025-06-07 16:30:04
Amsterdam,16.27,67,9.26,Clouds,2025-06-07 16:30:04
Munich,13.39,94,0.45,Clouds,2025-06-07 20:00:03
Berlin,14.44,90,3.6,Clear,2025-06-07 20:00:03
Cairo,28.42,42,5.14,Clear,2025-06-07 20:00:04
Madrid,27.23,26,3.6,Clear,2025-06-07 20:00:04
Amsterdam,14.66,71,4.63,Clouds,2025-06-07 20:00:04
Munich,13.37,94,0.45,Clouds,2025-06-07 20:30:03
Berlin,14.38,91,3.6,Clear,2025-06-07 20:30:03
Cairo,28.42,44,4.12,Clear,2025-06-07 20:30:03
Madrid,26.73,29,3.6,Clear,2025-06-07 20:30:03
Amsterdam,14.32,68,2.57,Clouds,2025-06-07 20:30:03
